timestamp,room,raqi_mV,raqi_volt,noise_rms,noise_spikes
2025-11-19T01:41:26,Room101,390,0.489,3.3,2
2025-11-19T01:41:27,Room101,390,0.49,4.5,1
2025-11-19T01:41:28,Room101,389,0.488,4.5,0
2025-11-19T01:41:30,Room101,389,0.489,4.5,0
2025-11-19T01:41:31,Room101,389,0.489,4.5,0
2025-11-19T01:41:32,Room101,389,0.489,4.4,0
2025-11-19T01:41:33,Room101,389,0.489,4.3,0
2025-11-19T01:41:35,Room101,388,0.488,4.5,0
2025-11-19T01:41:36,Room101,388,0.488,4.3,4
2025-11-19T01:41:37,Room101,390,0.487,4.6,8
2025-11-19T01:41:38,Room101,380,0.493,4.4,10
2025-11-19T01:41:39,Room101,390,0.492,4.5,1
2025-11-19T01:41:41,Room101,388,0.488,4.5,0
2025-11-19T01:41:42,Room101,392,0.488,4.4,0
2025-11-19T01:41:43,Room101,391,0.489,4.4,0
2025-11-19T01:41:44,Room101,390,0.487,4.5,0
2025-11-19T01:41:46,Room101,389,0.493,4.4,5
2025-11-19T01:41:47,Room101,393,0.487,4.5,8
2025-11-19T01:41:48,Room101,389,0.486,4.5,6
2025-11-19T01:41:49,Room101,390,0.491,4.6,3
2025-11-19T01:41:50,Room101,389,0.49,4.3,0
2025-11-19T01:41:52,Room101,391,0.489,4.4,0
2025-11-19T01:41:53,Room101,391,0.489,4.4,0
2025-11-19T01:41:54,Room101,390,0.489,4.5,3
2025-11-19T01:41:55,Room101,390,0.49,4.4,8
2025-11-19T01:41:56,Room101,384,0.488,4.5,12
2025-11-19T01:41:58,Room101,389,0.494,4.4,2
2025-11-19T01:41:59,Room101,390,0.489,4.3,1
2025-11-19T01:42:00,Room101,386,0.489,4.4,0
2025-11-19T01:42:01,Room101,386,0.492,4.5,0
2025-11-19T01:42:03,Room101,391,0.489,4.5,0
2025-11-19T01:42:04,Room101,390,0.488,4.3,1
2025-11-19T01:42:05,Room101,387,0.486,4.5,8
2025-11-19T01:42:06,Room101,389,0.488,4.5,9
2025-11-19T01:42:07,Room101,390,0.493,4.4,5
2025-11-19T01:42:09,Room101,390,0.488,4.4,4
2025-11-19T01:42:10,Room101,390,0.487,4.4,1
2025-11-19T01:42:11,Room101,389,0.489,4.5,0
2025-11-19T01:42:12,Room101,390,0.492,4.3,0
2025-11-19T01:42:14,Room101,390,0.488,4.4,2
2025-11-19T01:42:15,Room101,390,0.488,4.4,5
2025-11-19T01:42:16,Room101,390,0.488,4.4,4
2025-11-19T01:42:17,Room101,390,0.489,4.4,0
2025-11-19T01:42:18,Room101,390,0.49,4.2,1
2025-11-19T01:42:20,Room101,386,0.489,4.4,0
2025-11-19T01:42:21,Room101,390,0.488,4.4,0
2025-11-19T01:42:22,Room101,390,0.488,4.3,2
2025-11-19T01:42:23,Room101,390,0.49,4.3,4
2025-11-19T01:42:25,Room101,389,0.486,4.4,6
2025-11-19T01:42:26,Room101,390,0.486,4.4,5
2025-11-19T01:42:27,Room101,390,0.484,4.4,6
2025-11-19T01:42:28,Room101,389,0.493,4.3,1
2025-11-19T01:42:29,Room101,390,0.491,4.3,1
2025-11-19T01:42:31,Room101,392,0.489,4.3,1
2025-11-19T01:42:32,Room101,388,0.492,4.2,1
2025-11-19T01:42:33,Room101,391,0.489,4.2,6
2025-11-19T01:42:34,Room101,388,0.486,4.3,8
2025-11-19T01:42:36,Room101,374,0.489,4.3,6
2025-11-19T01:42:37,Room101,390,0.488,4.3,4
2025-11-19T01:42:38,Room101,389,0.496,4.4,1
2025-11-19T01:42:39,Room101,391,0.49,4.3,0
2025-11-19T01:42:40,Room101,391,0.491,4.4,1
2025-11-19T01:42:42,Room101,390,0.49,4.1,1
2025-11-19T01:42:43,Room101,391,0.491,4.1,7
2025-11-19T01:42:44,Room101,393,0.491,4.0,7
2025-11-19T01:42:45,Room101,396,0.487,4.1,14
2025-11-19T01:42:47,Room101,390,0.49,3.9,4
2025-11-19T01:42:48,Room101,391,0.492,4.1,3
2025-11-19T01:42:49,Room101,390,0.494,3.8,0
2025-11-19T01:42:50,Room101,392,0.495,3.9,2
